A;CWARN.NOEFFECT.UCMP.GE
µ;PORTING.STORAGE.STRUCT
;CWARN.CAST.VIRTUAL_INHERITANCE
;CWARN.INLINE.NONFUNC
Ġ;CS.UNCHECKED.LOOPITER.CAST
l;SV.LPP.CONST
x;CL.ASSIGN.NON_CONST_ARG
Å;SV.BRM.HKEY_LOCAL_MACHINE
[;SV.RVT.RETVAL_NOTTESTED
Q;BSTR.OPS.ARITHM
S;BSTR.OPS.EQS
;CWARN.CONSTCOND.WHILE
ò;INFINITE_LOOP.MACRO
;NPD.CHECK.CALL.MIGHT
ƫ;RLK.SQLOBJ
ƞ;RNU.THIS
Ǔ;JD.THREAD.RUN
~;RETVOID.IMPLICIT
ő;SV.SQL
Đ;SV.PCC.INVALID_TEMP_PATH
º;PORTING.UNSIGNEDCHAR.RELOP
ť;FSC.PRV
;SV.BANNED.REQUIRED.SPRINTF
;;CWARN.INCL.ABSOLUTE
;CWARN.CONSTCOND.DO
ý;SV.TAINTED.CALL.BINOP
ô;INVARIANT_CONDITION.UNREACH
Ť;FSC.PRT
z;CL.ASSIGN.VOID
Ǩ;UF.NIO
Ä;SV.FMT_STR.UNKWN_FORMAT
7;CWARN.BITOP.SIZE
­;PORTING.CMPSPEC.EFFECTS.ASSIGNMENT
û;SV.TAINTED.ALLOC_SIZE
`;FNH.MUST
Ĥ;CS.NRE.CHECK.CALL.MIGHT
ņ;ANDROID.RLK.SQLOBJ
ǝ;SV.EMAIL
;CWARN.EMPTY.TYPEDEF
ƈ;NPE.RET.UTIL
Ĕ;SV.WEAK_CRYPTO.WEAK_HASH
ǉ;JD.UMC.FINALIZE
ĕ;CS.CMP.VAL.NULL
Ƽ;SV.STRUTS.VALIDMET
r;CL.MLK.VIRTUAL
);ABV.UNKNOWN_SIZE
8;CWARN.COPY.NOASSIGN
İ;CS.NRE.GEN.MIGHT
Ǻ;LS.CALL.STRING
;CWARN.BOOLOP.INC
;CWARN.BAD.PTR.ARITH
%;ABV.UNICODE.BOUND_MAP
;SV.BANNED.REQUIRED.ISBAD
W;CONC.NO_UNLOCK
ÿ;SV.TAINTED.CALL.LOOP_BOUND
ǡ;SV.TAINT_NATIVE
;NPD.CHECK.MUST
;VOIDRET
;UFM.USE.MIGHT
ű;STRCON.LOOP
ƿ;JD.BITMASK
ų;SYNCH.NESTEDS
Ķ;CS.ASSIGN.SELF
;UFM.RETURN.MIGHT
ď;SV.PCC.CONST
ů;ESCMP.EMPTYSTR
;SV.BANNED.RECOMMENDED.SCANF
¯;PORTING.CMPSPEC.TYPE.LONGLONG
ş;RI.IGNOREDCALL
ǲ;SV.EXPOSE.RET
m;SV.LPP.VAR
¬;PORTING.CAST.SIZE
ƹ;SV.STRUTS.PRIVATE
Ç;SV.INCORRECT_RESOURCE_HANDLING.URH
Ì;SV.FMT_STR.SCAN_PARAMS_WRONGNUM.FEW
þ;SV.TAINTED.CALL.INDEX_ACCESS
Ƣ;RLK.IMAGEIO
ƪ;RLK.SQLCON
Ŧ;FSC.PUB
Ʋ;SV.SERIAL.SIG
©;PORTING.CAST.PTR
«;PORTING.CAST.PTR.SIZE
9;CWARN.DTOR.NONVIRT.DELETE
ƃ;JD.NEXT
Ƥ;RLK.JNDI
i;DBZ.CONST.CALL
;UFM.RETURN.MUST
Ż;JD.CATCH
ƌ;SV.EXEC.ENV
P;BSTR.IA.INIT
Ý;BYTEORDER.HTON.SEND
#;ABV.STACK
ǂ;JD.EQ.ARR
Ƿ;SV.RANDOM
Ĺ;CS.SQL.INJECT.LOCAL
Ɣ;JD.UN.MET
¤;SV.PIPE.VAR
Û;ASSIGCOND.CALL
/;SV.STRBO.BOUND_COPY.OVERFLOW
Þ;BYTEORDER.HTON.WRITE
Ɲ;REDUN.OP
ǧ;UF.MICRO
>;CWARN.MEMBER.INIT.ORDER
ŗ;SV.INT_OVF
ǆ;JD.INST.TRUE
Z;SV.USAGERULES.SPOOFING
×;STRONG.TYPE.JOIN.CONST
ł;ANDROID.NPE
;NPD.CONST.DEREF
¼;SV.DLLPRELOAD.NONABSOLUTE.DLL
,;NNTS.TAINTED
|;FUNCRET.IMPLICIT
ĝ;CS.CONSTCOND.TERNARY
ŏ;SV.DATA.DB
ǚ;SV.UMC.JDBC
Ó;STRONG.TYPE.ASSIGN.RETURN
G;CWARN.PASSBYVALUE.ARG
ǩ;UF.OUT
ǯ;SV.EXPOSE.FIN
ĺ;CS.NPS
ŷ;UC.STRV
;NPD.CONST.CALL
L;BSTR.FUNC.FREE
ı;CS.NRE.GEN.MUST
Ŷ;UC.STRS
ƨ;RLK.OUT
b;FUM.GEN.MUST
;CWARN.HIDDEN.PARAM
ž;JD.CAST.COL
Ǐ;JD.LOCK.SLEEP
ģ;CS.CTOR.VIRTUAL
ǹ;LS.CALL
ź;EXC.BROADTHROWS
ƚ;REDUN.EQNULL
;NPD.CHECK.MIGHT
Ə;SV.TMPFILE
Ĵ;CS.EMPTY.CATCH
ǭ;UF.ZIP
Ĝ;CS.CONSTCOND.SWITCH
ƣ;RLK.IN
;UFM.FFM.MUST
Â;SV.FMT_STR.PRINT_PARAMS_WRONGNUM.FEW
;SV.BANNED.RECOMMENDED.TOKEN
H;CWARN.PASSBYVALUE.EXC
¾;SV.DLLPRELOAD.SEARCHPATH
ü;SV.TAINTED.BINOP
È;SV.INCORRECT_RESOURCE_HANDLING.WRONG_STATUS
ŭ;UMC.SYSERR
Ƙ;REDUN.DEF
Ǝ;SV.PATH.INJ
;CWARN.IMPLICITINT
Ī;CS.NRE.FUNC.CALL.MIGHT
ƕ;JD.UN.PMET
Ė;CS.FLOAT.EQCHECK
ǔ;JD.UMC.WAIT
Ɨ;JD.VNU.NULL
ŵ;UC.BOOLS
ō;SV.XSS.REF
;ABV.ANY_SIZE_ARRAY
§;PORTING.BYTEORDER.SIZE
	;UFM.DEREF.MIGHT
n;SV.SIP.CONST
±;PORTING.OPTS
Ò;STRONG.TYPE.ASSIGN.INIT
Č;UNINIT.STACK.ARRAY.PARTIAL.MUST
ǣ;UF.IMAGEIO
ǫ;UF.SQLCON
ǈ;JD.ST.POS
{;FUNCRET.GEN
£;SV.PIPE.CONST
ǋ;MNA.CNS
Ǘ;SV.ECV
:;CWARN.DTOR.NONVIRT.NOTEMPTY
Ƴ;SV.CLEXT.CLLOADER
;NPD.GEN.MUST
Ǳ;SV.EXPOSE.MUTABLEFIELD
;SV.BANNED.REQUIRED.COPY
Ĭ;CS.NRE.FUNC.MIGHT
;LOCRET.ARG
ę;CS.WRONGUSE.REFEQ
ǵ;SV.PASSWD.HC.EMPTY
@;CWARN.NOEFFECT.SELF_ASSIGN
¹;PORTING.UNSIGNEDCHAR.OVERFLOW.TRUE
;CWARN.FUNCADDR
;UFM.FFM.MIGHT
ǃ;JD.EQ.UTA
Ǆ;JD.EQ.UTC

;UFM.DEREF.MUST
đ;SV.PCC.MISSING_TEMP_CALLS.MUST
ĵ;CS.FRACTION.LOSS
Ĩ;CS.NRE.CONST.CALL
;LOCRET.GLOB
Ɠ;JD.RC.EXPR.DEAD
ƭ;RLK.ZIP
Ū;RTC.CALL
ã;INCORRECT.ALLOC_SIZE
;CL.SELF-ASSIGN
´;PORTING.SIGNED.CHAR
Ō;SV.XSS.DB
Ş;EHC.HASH
Ŗ;SV.DOS.TMPFILEEXIT
Ļ;CS.RCA
Ơ;RLK.FIELD
ƽ;FIN.NOSUPER
t;MLK.MIGHT
ƙ;REDUN.EQ
Ƹ;SV.STRUTS.NOTVALID
I;BSTR.CAST.C
Æ;RH.LEAK
Ð;STRONG.TYPE.ASSIGN.ARG
é;SV.CODE_INJECTION.SHELL_EXEC
ư;SV.SERIAL.NOREAD
Į;CS.NRE.GEN.CALL.MIGHT
Ǹ;SV.WEAK.CRYPT
Ʃ;RLK.SOCK
Ɵ;RLK.AWT
ª;PORTING.CAST.PTR.FLTPNT
C;CWARN.NOEFFECT.UCMP.LT
ī;CS.NRE.FUNC.CALL.MUST
Ɓ;JD.CAST.UPCAST
E;CWARN.NULLCHECK.FUNCNAME
Ŵ;UC.BOOLB
;RNPD.CALL
Ē;SV.PCC.MISSING_TEMP_FILENAME
ż;JD.FINRET
Ƕ;SV.PASSWD.PLAIN
ö;UNREACH.RETURN
Ƃ;JD.CONCUR
ǰ;SV.EXPOSE.IFIELD
;NPD.FUNC.CALL.MIGHT
Ć;UNINIT.CTOR.MIGHT
ē;SV.PCC.MODIFIED_BEFORE_CREATE
Ǭ;UF.SQLOBJ
ǎ;JD.LOCK.NOTIFY
Î;SV.FMT_STR.UNKWN_FORMAT.SCAN
F;CWARN.OVERRIDE.CONST
Ƒ;JD.IFEMPTY
Ǫ;UF.SOCK
;CL.FFM.COPY
Ǖ;SV.SHARED.VAR
Ø;STRONG.TYPE.JOIN.EQ
Õ;STRONG.TYPE.EXTRACT
N;BSTR.FUNC.REALLOC
·;PORTING.UNIONS
;SV.BANNED.REQUIRED.GETS
;UFM.USE.MUST
Ï;STRONG.TYPE.ASSIGN
o;SV.SIP.VAR
Ɔ;NPE.CONST
X;CONC.SLEEP
ø;UNUSED.FUNC.GEN
;NPD.FUNC.MUST
Ģ;CS.WRONG.CAST.MIGHT
¡;CWARN.RET.MAIN
Ê;SV.FMT_STR.SCAN_FORMAT_MISMATCH.UNDESIRED
½;SV.DLLPRELOAD.NONABSOLUTE.EXE
Ƌ;SV.EXEC.DIR
À;SV.FMT_STR.PRINT_FORMAT_MISMATCH.UNDESIRED
};RETVOID.GEN
ċ;UNINIT.STACK.ARRAY.MUST
ð;INFINITE_LOOP.GLOBAL
ƀ;JD.CAST.SUSP
;CWARN.EMPTY.LABEL
Ǵ;SV.PASSWD.HC
ſ;JD.CAST.KEY
k;DBZ.ITERATOR
ƶ;SV.USE.POLICY
Ǣ;SV.XPATH
;SV.BANNED.RECOMMENDED.ALLOCA
Ű;FIN.EMPTY
Ǟ;SV.HTTP_SPLIT
Á;SV.FMT_STR.PRINT_IMPROP_LENGTH
Ā;SV.TAINTED.FMTSTR
è;SEMICOL
ú;SV.STR_PAR.UNDESIRED_STRING_PARAMETER
h;DBZ.CONST
Ɩ;JD.VNU
¢;CWARN.SIGNEDBIT
Ƭ;RLK.SWT
\;CL.FMM
¿;SV.FMT_STR.PRINT_FORMAT_MISMATCH.BAD
